
C:\Users\fff\Documents\SportsMate>python Main.py


Are you sure you want to receive new ranking data? (y/n) n


--------------------------------------------------          National Basketball Association           --------------------------------------------------

105. [ California Irvine Anteaters  ] vs [   UC Santa Barbara Gauchos   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

106. [       Arizona Wildcats       ] vs [   Washington State Cougars   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.09) swap-False

107. [      Stanford Cardinal       ] vs [         Oregon Ducks         ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

108. [     Santa Clara Broncos      ] vs [    Loyola Marymount Lions    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.17) swap-False

109. [          Akron Zips          ] vs [  Kent State Golden Flashes   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

110. [    Jacksonville Dolphins     ] vs [    North Florida Ospreys     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

111. [   Canisius Golden Griffins   ] vs [    Niagara Purple Eagles     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

112. [         Rider Broncs         ] vs [          Iona Gaels          ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

113. [    Bowling Green Falcons     ] vs [        Toledo Rockets        ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.57) swap-False

114. [ Wisconsin Green Bay Phoenix  ] vs [ Purdue Fort Wayne Mastodons  ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

115. [       Harvard Crimson        ] vs [       Princeton Tigers       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.3) swap-False

116. [Mount St. Mary&apos;s Mountaineers] vs [    Saint Peters Peacocks     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

117. [        Columbia Lions        ] vs [         Brown Bears          ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.61) swap-False

118. [     Dartmouth Big Green      ] vs [         Penn Quakers         ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

119. [       Cornell Big Red        ] vs [        Yale Bulldogs         ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

120. [      Manhattan Jaspers       ] vs [       Marist Red Foxes       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.31) swap-False

121. [ Wisconsin Milwaukee Panthers ] vs [  Youngstown State Penguins   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

122. [         Fordham Rams         ] vs [        Duquesne Dukes        ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.61) swap-False

123. [      Quinnipiac Bobcats      ] vs [       Fairfield Stags        ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

124. [   San Jose State Spartans    ] vs [       Nevada Wolf Pack       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.19) swap-False

--------------------------------------------------                sleeping for 15:0:47                --------------------------------------------------

--------------------------------------------------                   fetching live                    --------------------------------------------------

08:59:14 NBA        [     Cleveland Cavaliers      ] vs [        Orlando Magic         ] : About To Start(90)

08:59:14 NBA        [     Cleveland Cavaliers      ] vs [        Orlando Magic         ] : Q2, About To Start(90)

08:59:14 NBA        [      Philadelphia 76ers      ] vs [       New York Knicks        ] : Q2, underdog-None, Ping 0, scores 20:26, 196 remains

08:59:14 NBA        [      Philadelphia 76ers      ] vs [       New York Knicks        ] : Q2, About To Start(196)

08:59:15 NBA        [        Chicago Bulls         ] vs [        Boston Celtics        ] : Q1, underdog-None, Ping 0, scores 0:0, 710 remains

08:59:15 NBA        [        Chicago Bulls         ] vs [        Boston Celtics        ] : Q1, rain: 0, drought: 0, Don't Trigger

                                                                                           Q1(  --@--  ,   --@--  ), Q2(  --@--  ,   --@--  ), Time 00:10

08:59:15 NBA        [        Indiana Pacers        ] vs [       Detroit Pistons        ] : Q2, underdog-None, Ping 0, scores 20:14, 181 remains

08:59:15 NBA        [        Indiana Pacers        ] vs [       Detroit Pistons        ] : Q2, About To Start(181)

08:59:15 NBA        [       Toronto Raptors        ] vs [        Brooklyn Nets         ] : Q2, underdog-None, Ping 0, scores 16:20, 245 remains

08:59:15 NBA        [       Toronto Raptors        ] vs [        Brooklyn Nets         ] : Q2, rain: 0, drought: 0, Don't Trigger

                                                                                           Q2(  --@--  ,   --@--  ), Q3(  --@--  ,   --@--  ), Time 19:55

08:59:15 NBA        [     New Orleans Pelicans     ] vs [       Houston Rockets        ] : Q1, underdog-None, Ping 0, scores 0:0, 717 remains

08:59:15 NBA        [     New Orleans Pelicans     ] vs [       Houston Rockets        ] : Q1, rain: 0, drought: 0, Don't Trigger

                                                                                           Q1(  --@--  ,   --@--  ), Q2(  --@--  ,   --@--  ), Time 00:03

08:59:16 NBA        [       Dallas Mavericks       ] vs [         Phoenix Suns         ] : About To Start(83)

08:59:16 NBA        [       Dallas Mavericks       ] vs [         Phoenix Suns         ] : Q1, About To Start(83)

08:59:16 NBA        [     Cleveland Cavaliers      ] vs [        Orlando Magic         ] : About To Start(74)

08:59:16 NBA        [     Cleveland Cavaliers      ] vs [        Orlando Magic         ] : Q2, About To Start(74)

08:59:16 NBA        [      Philadelphia 76ers      ] vs [       New York Knicks        ] : Q2, underdog-home, Ping 0, scores 20:26, 196 remains

